pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
-50.0,x,0,0,0,0,,,,,126.47138230036944,127.43356010038406,127.43356010038406,127.43356010038406,127.43356010038406,127.48330330010504,128.43333439994603,128.43333439994603,x,1,1.4074937994591892,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
150.0,v,0,1,1,1,,,,,129.86695250030607,130.86667690007016,130.86667690007016,130.86667690007016,130.86667690007016,130.86667690007016,131.86665370035917,131.86665370035917,v,1,0.9628862999379635,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
50.0,c,0,2,2,2,,,,,132.85005540028214,133.84991460014135,133.84991460014135,133.84991460014135,133.84991460014135,133.84991460014135,134.8498496999964,134.8498496999964,c,1,0.6517705996520817,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
-150.0,z,0,3,3,3,,,,,135.53305860003456,136.5331524000503,136.5331524000503,136.5331524000503,136.5331524000503,136.5331524000503,137.53320319997147,137.53320319997147,z,1,0.7711015995591879,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
-50.0,x,1,0,4,0,,,,,138.33334570005536,139.33306090021506,139.33306090021506,139.33306090021506,139.33306090021506,139.33306090021506,140.33296910021454,140.33296910021454,x,1,0.8982416996732354,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
150.0,v,1,1,5,1,,,,,141.2497114003636,142.2494223001413,142.2494223001413,142.2494223001413,142.2494223001413,142.2494223001413,143.24967640032992,143.24967640032992,v,1,1.1603184998966753,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
50.0,c,1,2,6,2,,,,,144.4329134002328,145.4328518002294,145.4328518002294,145.4328518002294,145.4328518002294,145.4328518002294,146.66787200002,146.66787200002,c,1,0.7851044996641576,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
-150.0,z,1,3,7,3,,,,,147.48295560013503,148.48279670020565,148.48279670020565,148.48279670020565,148.48279670020565,148.48279670020565,149.48266640026122,149.48266640026122,z,1,0.625683999620378,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
-50.0,x,2,0,8,0,,,,,150.1326612001285,151.13267480023205,151.13267480023205,151.13267480023205,151.13267480023205,151.13267480023205,152.1327613000758,152.1327613000758,x,1,0.5679444000124931,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
150.0,v,2,1,9,1,,,,,152.73247659998015,153.73264790000394,153.73264790000394,153.73264790000394,153.73264790000394,153.73264790000394,154.73260330036283,154.73260330036283,v,1,1.0721881999634206,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
50.0,c,2,2,10,2,,,,,155.83232620032504,156.8324408000335,156.8324408000335,156.8324408000335,156.8324408000335,156.8324408000335,157.83232509996742,157.83232509996742,c,1,0.7387135992757976,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
-150.0,z,2,3,11,3,,,,,158.59913180023432,159.59883970022202,159.59883970022202,159.59883970022202,159.59883970022202,159.59883970022202,160.5999972000718,160.5999972000718,z,1,0.8238293994218111,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
-50.0,x,3,0,12,0,,,,,161.44869940029457,162.4486444001086,162.4486444001086,162.4486444001086,162.4486444001086,162.4486444001086,163.44860480027273,163.44860480027273,x,1,0.8219915996305645,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
150.0,v,3,1,13,1,,,,,164.29880350036547,165.2985467002727,165.2985467002727,165.2985467002727,165.2985467002727,165.2985467002727,166.29882030002773,166.29882030002773,v,1,0.49295279989019036,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
50.0,c,3,2,14,2,,,,,166.81529769999906,167.81543840002269,167.81543840002269,167.81543840002269,167.81543840002269,167.81543840002269,168.81524839997292,168.81524839997292,c,1,0.7357523995451629,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
-150.0,z,3,3,15,3,,,,,169.58175360038877,170.58173310011625,170.58173310011625,170.58173310011625,170.58173310011625,170.58173310011625,171.58166950009763,171.58166950009763,z,1,0.532974099740386,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
-50.0,x,4,0,16,0,,,,,172.1318812002428,173.1318581001833,173.1318581001833,173.1318581001833,173.1318581001833,173.1318581001833,174.1317010000348,174.1317010000348,x,1,1.077283799648285,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
150.0,v,4,1,17,1,,,,,175.23197170021012,176.23168880026788,176.23168880026788,176.23168880026788,176.23168880026788,176.23168880026788,177.23311410006136,177.23311410006136,v,1,0.8679355997592211,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
50.0,c,4,2,18,2,,,,,178.13166680000722,179.13165490003303,179.13165490003303,179.13165490003303,179.13165490003303,179.13165490003303,180.1316713001579,180.1316713001579,c,1,0.7304377998225391,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
-150.0,z,4,3,19,3,,,,,180.8816972002387,181.88150510005653,181.88150510005653,181.88150510005653,181.88150510005653,181.88150510005653,182.88168780039996,182.88168780039996,z,1,0.6450073998421431,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
-50.0,x,5,0,20,0,,,,,183.54804640030488,184.54826320009306,184.54826320009306,184.54826320009306,184.54826320009306,184.54826320009306,185.54887360008433,185.54887360008433,x,1,0.6125542996451259,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
150.0,v,5,1,21,1,,,,,186.18139269994572,187.18123790016398,187.18123790016398,187.18123790016398,187.18123790016398,187.18123790016398,188.1813964000903,188.1813964000903,v,1,0.9219627995043993,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
50.0,c,5,2,22,2,,,,,189.13118610018864,190.1311880000867,190.1311880000867,190.1311880000867,190.1311880000867,190.1311880000867,191.13131229998544,191.13131229998544,c,1,0.7426577000878751,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
-150.0,z,5,3,23,3,,,,,191.8978161001578,192.89774070028216,192.89774070028216,192.89774070028216,192.89774070028216,192.89774070028216,193.8975951001048,193.8975951001048,z,1,0.6090459995903075,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
-50.0,x,6,0,24,0,,,,,194.5308954003267,195.53098550019786,195.53098550019786,195.53098550019786,195.53098550019786,195.53098550019786,196.53112210007384,196.53112210007384,x,1,0.8327476996928453,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
150.0,v,6,1,25,1,,,,,197.38101390004158,198.38086599996313,198.38086599996313,198.38086599996313,198.38086599996313,198.38086599996313,199.38090250035748,199.38090250035748,v,1,1.3339594998396933,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
50.0,c,6,2,26,2,,,,,200.74741060007364,201.74739330029115,201.74739330029115,201.74739330029115,201.74739330029115,201.74739330029115,202.7474263003096,202.7474263003096,c,1,0.6221681996248662,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
-150.0,z,6,3,27,3,,,,,203.39743780018762,204.3972614002414,204.3972614002414,204.3972614002414,204.3972614002414,204.3972614002414,205.39734130026773,205.39734130026773,z,1,0.43892369978129864,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
-50.0,x,7,0,28,0,,,,,205.86400260031223,206.864039900247,206.864039900247,206.864039900247,206.864039900247,206.864039900247,207.86376220034435,207.86376220034435,x,1,0.6322913994081318,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
150.0,v,7,1,29,1,,,,,208.51370060024783,209.5135695002973,209.5135695002973,209.5135695002973,209.5135695002973,209.5135695002973,210.51362580014393,210.51362580014393,v,1,0.859716999810189,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
50.0,c,7,2,30,2,,,,,211.39706530002877,212.39698810037225,212.39698810037225,212.39698810037225,212.39698810037225,212.39698810037225,213.39740630006418,213.39740630006418,c,1,0.6708529996685684,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
-150.0,z,7,3,31,3,,,,,214.09700670000166,215.09712080005556,215.09712080005556,215.09712080005556,215.09712080005556,215.09712080005556,216.09695710008964,216.09695710008964,z,1,0.5555496998131275,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
-50.0,x,8,0,32,0,,,,,216.68026960035786,217.68022510036826,217.68022510036826,217.68022510036826,217.68022510036826,217.68022510036826,218.68008350022137,218.68008350022137,x,1,0.5760848997160792,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
150.0,v,8,1,33,1,,,,,219.2801600000821,220.28010990004987,220.28010990004987,220.28010990004987,220.28010990004987,220.28010990004987,221.28002460021526,221.28002460021526,v,1,0.726961899548769,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
50.0,c,8,2,34,2,,,,,222.029779500328,223.02974180039018,223.02974180039018,223.02974180039018,223.02974180039018,223.02974180039018,224.029763400089,224.029763400089,c,1,0.528972199652344,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
-150.0,z,8,3,35,3,,,,,224.5797129003331,225.58004080038518,225.58004080038518,225.58004080038518,225.58004080038518,225.58004080038518,226.5799496001564,226.5799496001564,z,1,0.3957482995465398,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
-50.0,x,9,0,36,0,,,,,226.9964289003983,227.9966160999611,227.9966160999611,227.9966160999611,227.9966160999611,227.9966160999611,228.996427600272,228.996427600272,x,1,0.7555172992870212,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
150.0,v,9,1,37,1,,,,,229.7794853001833,230.77969010034576,230.77969010034576,230.77969010034576,230.77969010034576,230.77969010034576,231.779687799979,231.779687799979,v,1,0.7064730995334685,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
50.0,c,9,2,38,2,,,,,232.5131380003877,233.51280340040103,233.51280340040103,233.51280340040103,233.51280340040103,233.51280340040103,234.51279760012403,234.51279760012403,c,1,0.47840349981561303,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
-150.0,z,9,3,39,3,,,,,235.0128875002265,236.0139538999647,236.0139538999647,236.0139538999647,236.0139538999647,236.0139538999647,237.01277060015127,237.01277060015127,z,1,0.4095672997646034,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
-50.0,x,10,0,40,0,,,,,237.44607720011845,238.44600039999932,238.44600039999932,238.44600039999932,238.44600039999932,238.44600039999932,239.44603720027953,239.44603720027953,x,1,0.6382501996122301,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
150.0,v,10,1,41,1,,,,,240.11249160021544,241.11283770017326,241.11283770017326,241.11283770017326,241.11283770017326,241.11283770017326,242.11265640007332,242.11265640007332,v,1,0.700879099778831,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
50.0,c,10,2,42,2,,,,,242.84598920028657,243.84578029997647,243.84578029997647,243.84578029997647,243.84578029997647,243.84578029997647,244.84580769995227,244.84580769995227,c,1,0.6526369997300208,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
-150.0,z,10,3,43,3,,,,,245.52899230038747,246.52917300025,246.52917300025,246.52917300025,246.52917300025,246.52917300025,247.5290345000103,247.5290345000103,z,1,0.4648699997924268,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
-50.0,x,11,0,44,0,,,,,248.01251140004024,249.0124878003262,249.0124878003262,249.0124878003262,249.0124878003262,249.0124878003262,250.01236970024183,250.01236970024183,x,1,0.5674137999303639,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
150.0,v,11,1,45,1,,,,,250.61233430029824,251.61228900030255,251.61228900030255,251.61228900030255,251.61228900030255,251.61228900030255,252.61240300023928,252.61240300023928,v,1,0.7790685999207199,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
50.0,c,11,2,46,2,,,,,253.412053800188,254.41273630037904,254.41273630037904,254.41273630037904,254.41273630037904,254.41273630037904,255.41200430039316,255.41200430039316,v,0,0.6433987994678319,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
-150.0,z,11,3,47,3,,,,,256.07873610034585,257.06207840004936,257.06207840004936,257.06207840004936,257.06207840004936,257.0786758000031,258.07870740024373,258.07870740024373,z,1,0.499936499632895,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
-50.0,x,12,0,48,0,,,,,258.59531630016863,259.59547709999606,259.59547709999606,259.59547709999606,259.59547709999606,259.59547709999606,260.59528260026127,260.59528260026127,x,1,0.6792913996614516,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
150.0,v,12,1,49,1,,,,,261.2952815000899,262.29517590021715,262.29517590021715,262.29517590021715,262.29517590021715,262.29517590021715,263.2951238001697,263.2951238001697,v,1,0.48597299959510565,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
50.0,c,12,2,50,2,,,,,263.8118217000738,264.8115834002383,264.8115834002383,264.8115834002383,264.8115834002383,264.8115834002383,265.8115368001163,265.8115368001163,c,1,0.3972672997042537,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
-150.0,z,12,3,51,3,,,,,266.2285539000295,267.228228200227,267.228228200227,267.228228200227,267.228228200227,267.228228200227,268.2283817999996,268.2283817999996,z,1,0.4795196997001767,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
-50.0,x,13,0,52,0,,,,,268.72821310022846,269.72832900006324,269.72832900006324,269.72832900006324,269.72832900006324,269.72832900006324,270.72816340019926,270.72816340019926,x,1,0.5351573997177184,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
150.0,v,13,1,53,1,,,,,271.2948058000766,272.2948354999535,272.2948354999535,272.2948354999535,272.2948354999535,272.2948354999535,273.2948293001391,273.2948293001391,v,1,0.7841532998718321,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
50.0,c,13,2,54,2,,,,,274.11139720026404,275.11123390030116,275.11123390030116,275.11123390030116,275.11123390030116,275.11123390030116,276.11130890017375,276.11130890017375,c,1,0.7837425996549428,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
-150.0,z,13,3,55,3,,,,,276.91134890029207,277.91124980011955,277.91124980011955,277.91124980011955,277.91124980011955,277.91124980011955,278.91115509998053,278.91115509998053,z,1,0.6757145994342864,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
-50.0,x,14,0,56,0,,,,,279.6111225001514,280.61122169997543,280.61122169997543,280.61122169997543,280.61122169997543,280.61122169997543,281.6111173001118,281.6111173001118,x,1,0.5567250996828079,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
150.0,v,14,1,57,1,,,,,282.1947620003484,283.1943117999472,283.1943117999472,283.1943117999472,283.1943117999472,283.1943117999472,284.1943891001865,284.1943891001865,v,1,0.5141576994210482,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
50.0,c,14,2,58,2,,,,,284.7275640000589,285.7276758002117,285.7276758002117,285.7276758002117,285.7276758002117,285.7276758002117,286.7276537003927,286.7276537003927,c,1,1.2264768998138607,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
-150.0,z,14,3,59,3,,,,,287.9773632003926,288.9774794001132,288.9774794001132,288.9774794001132,288.9774794001132,288.9774794001132,289.9773416002281,289.9773416002281,z,1,0.8380100997164845,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
-50.0,x,15,0,60,0,,,,,290.84408700000495,291.84411519998685,291.84411519998685,291.84411519998685,291.84411519998685,291.84411519998685,292.8440434001386,292.8440434001386,x,1,0.6246677995659411,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
150.0,v,15,1,61,1,,,,,293.4939867001958,294.4939972003922,294.4939972003922,294.4939972003922,294.4939972003922,294.4939972003922,295.49395740032196,295.49395740032196,v,1,0.7812361996620893,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
